iso_code,continent,location,date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,total_vaccinations_per_hundred,people_vaccinated_per_hundred,human_development_index,stringency_index,gdp_per_capita
LBN,Asia,Lebanon,2023-02-15,1230463.0,224138.503,10808.0,1968.762,,,,,,0.744,,13367.565
LSO,Africa,Lesotho,2023-02-15,34790.0,15087.869,723.0,313.554,,,,,,0.527,,2851.153
LBR,Africa,Liberia,2023-02-15,8065.0,1520.926,294.0,55.444,,,,,,0.48,,752.788
LBY,Africa,Libya,2023-02-15,507170.0,74448.677,6437.0,944.902,,,,,,0.724,,17881.509
LIE,Europe,Liechtenstein,2023-02-15,21387.0,543437.937,89.0,2261.466,,,,,,0.919,,
LTU,Europe,Lithuania,2023-02-15,1300959.0,473066.023,9560.0,3476.29,,,,,,0.882,,29524.265
LUX,Europe,Luxembourg,2023-02-15,315590.0,487321.669,1214.0,1874.611,,,,,,0.916,,94277.965
MAC,Asia,Macao,2023-02-15,3510.0,5049.052,121.0,174.056,,,,,,,,104861.851
MDG,Africa,Madagascar,2023-02-15,67849.0,2291.289,1421.0,47.988,,,,,,0.528,,1416.44
MWI,Africa,Malawi,2023-02-15,88640.0,4343.966,2686.0,131.632,,,,,,0.483,,1095.042
MYS,Asia,Malaysia,2023-02-15,5040087.0,148507.718,36954.0,1088.861,0.236,3.212,,213.8,82.88,0.81,,26808.164
MDV,Asia,Maldives,2023-02-15,185723.0,354569.891,311.0,593.74,,,,,,0.74,,15183.616
MLI,Africa,Mali,2023-02-15,32854.0,1454.129,743.0,32.885,,,,,,0.434,,2014.306
MLT,Europe,Malta,2023-02-15,117248.0,219856.627,826.0,1548.867,,,,,,0.895,,36513.323
MHL,Oceania,Marshall Islands,2023-02-15,15590.0,374822.687,17.0,408.723,,,,,,0.704,,3819.202
MRT,Africa,Mauritania,2023-02-15,63667.0,13442.787,997.0,210.509,,,,,,0.546,,3597.633
MUS,Africa,Mauritius,2023-02-15,295161.0,227138.128,1044.0,803.4,,,,,,0.804,,20292.745
MEX,North America,Mexico,2023-02-15,7414918.0,58154.34,332695.0,2609.288,,,,,,0.779,,17336.469
FSM,Oceania,Micronesia (country),2023-02-15,23671.0,207316.646,60.0,525.495,,,,,,0.62,,3299.464
MDA,Europe,Moldova,2023-02-15,600916.0,183598.315,11964.0,3655.37,,,,,,0.75,,5189.972
MCO,Europe,Monaco,2023-02-15,16104.0,441314.297,67.0,1836.069,,,,,,,,
MNG,Asia,Mongolia,2023-02-15,1007890.0,296580.158,2136.0,628.536,,,,,,0.737,,11840.846
MNE,Europe,Montenegro,2023-02-15,287161.0,457932.136,2799.0,4463.531,,,,,,0.829,,16409.288
MSR,North America,Montserrat,2023-02-15,1403.0,317924.315,8.0,1812.826,,,,,,,,
MAR,Africa,Morocco,2023-02-15,1272353.0,33967.479,16296.0,435.048,,,,,,0.686,,7485.013
MOZ,Africa,Mozambique,2023-02-15,232819.0,7061.644,2237.0,67.851,,,,,,0.456,,1136.103
MMR,Asia,Myanmar,2023-02-15,633875.0,11699.576,19490.0,359.731,,,,,,0.583,,5591.597
NAM,Africa,Namibia,2023-02-15,171059.0,66637.086,4090.0,1593.285,,,,,,0.646,,9541.808
NRU,Oceania,Nauru,2023-02-15,5121.0,403514.301,1.0,78.796,,,,,,,,12895.635
NPL,Asia,Nepal,2023-02-15,1001121.0,32772.508,12020.0,393.484,,,,,,0.602,,2442.804
NLD,Europe,Netherlands,2023-02-15,8598796.0,489568.789,23081.0,1314.107,0.911,21.294,,,,0.944,,48472.545
NCL,Oceania,New Caledonia,2023-02-15,80007.0,275925.217,314.0,1082.912,,,,,,,,
